[2026-07-11 16:37:56.000] [    0.000] [INFO] Starting RTOP
[2026-07-11 16:37:58.321] [    2.002] [DEBUG] monitor.refresh: 32.569887ms
[2026-07-11 16:38:00.369] [    4.004] [DEBUG] monitor.refresh: 22.625229ms
[2026-07-11 16:38:02.419] [    6.006] [DEBUG] monitor.refresh: 25.947003ms
[2026-07-11 16:38:04.471] [    8.008] [DEBUG] monitor.refresh: 28.182068ms
[2026-07-11 16:38:06.588] [   10.010] [DEBUG] monitor.refresh: 38.816378ms
[2026-07-11 16:38:08.643] [   12.012] [DEBUG] monitor.refresh: 28.196863ms
[2026-07-11 16:38:10.697] [   14.014] [DEBUG] monitor.refresh: 27.600844ms
[2026-07-11 16:38:12.740] [   16.016] [DEBUG] monitor.refresh: 22.157444ms
[2026-07-11 16:38:14.797] [   18.018] [DEBUG] monitor.refresh: 32.914103ms
[2026-07-11 16:38:16.849] [   20.020] [DEBUG] monitor.refresh: 28.764528ms
[2026-07-11 16:38:18.899] [   22.022] [DEBUG] monitor.refresh: 28.505736ms
[2026-07-11 16:38:20.946] [   24.024] [DEBUG] monitor.refresh: 23.399485ms
[2026-07-11 16:38:22.997] [   26.026] [DEBUG] monitor.refresh: 27.252233ms
[2026-07-11 16:38:25.059] [   29.029] [DEBUG] monitor.refresh: 38.941491ms
[2026-07-11 16:38:27.114] [   31.031] [DEBUG] monitor.refresh: 28.627298ms
[2026-07-11 16:38:29.166] [   33.033] [DEBUG] monitor.refresh: 30.105643ms
[2026-07-11 16:38:31.223] [   35.035] [DEBUG] monitor.refresh: 36.669712ms
[2026-07-11 16:38:33.271] [   37.037] [DEBUG] monitor.refresh: 22.016646ms
[2026-07-11 16:38:35.312] [   39.039] [DEBUG] monitor.refresh: 22.56556ms
[2026-07-11 16:38:37.361] [   41.041] [DEBUG] monitor.refresh: 27.709474ms
[2026-07-11 16:38:39.414] [   43.043] [DEBUG] monitor.refresh: 29.200543ms
[2026-07-11 16:38:41.469] [   45.045] [DEBUG] monitor.refresh: 33.976808ms
[2026-07-11 16:38:43.523] [   47.047] [DEBUG] monitor.refresh: 32.813132ms
[2026-07-11 16:38:45.565] [   49.049] [DEBUG] monitor.refresh: 20.524243ms
[2026-07-11 16:38:47.616] [   51.051] [DEBUG] monitor.refresh: 30.464886ms
[2026-07-11 16:38:49.674] [   53.053] [DEBUG] monitor.refresh: 33.520785ms
[2026-07-11 16:38:51.727] [   55.055] [DEBUG] monitor.refresh: 30.318458ms
[2026-07-11 16:38:53.775] [   57.057] [DEBUG] monitor.refresh: 24.34471ms
[2026-07-11 16:38:55.826] [   59.059] [DEBUG] monitor.refresh: 31.44891ms
[2026-07-11 16:38:57.878] [   61.061] [DEBUG] monitor.refresh: 31.729632ms
[2026-07-11 16:38:59.928] [   63.063] [DEBUG] monitor.refresh: 27.474008ms
[2026-07-11 16:39:01.978] [   65.065] [DEBUG] monitor.refresh: 24.078767ms
[2026-07-11 16:39:04.024] [   68.068] [DEBUG] monitor.refresh: 27.136535ms
[2026-07-11 16:39:06.078] [   70.070] [DEBUG] monitor.refresh: 28.099664ms
[2026-07-11 16:39:08.131] [   72.072] [DEBUG] monitor.refresh: 31.512864ms
[2026-07-11 16:39:10.183] [   74.074] [DEBUG] monitor.refresh: 26.306732ms
[2026-07-11 16:39:12.234] [   76.076] [DEBUG] monitor.refresh: 26.863173ms
[2026-07-11 16:39:14.279] [   78.078] [DEBUG] monitor.refresh: 19.629465ms
[2026-07-11 16:39:16.316] [   80.080] [DEBUG] monitor.refresh: 18.708324ms
[2026-07-11 16:39:18.354] [   82.082] [DEBUG] monitor.refresh: 20.722649ms
[2026-07-11 16:39:20.429] [   84.084] [DEBUG] monitor.refresh: 47.625964ms
[2026-07-11 16:39:22.550] [   86.086] [DEBUG] monitor.refresh: 62.25908ms
[2026-07-11 16:39:24.625] [   88.088] [DEBUG] monitor.refresh: 31.323187ms
[2026-07-11 16:39:26.672] [   90.090] [DEBUG] monitor.refresh: 24.019799ms
[2026-07-11 16:39:28.716] [   92.092] [DEBUG] monitor.refresh: 19.754308ms
[2026-07-11 16:39:30.834] [   94.094] [DEBUG] monitor.refresh: 71.7762ms
[2026-07-11 16:39:32.931] [   96.096] [DEBUG] monitor.refresh: 50.044636ms
[2026-07-11 16:39:35.094] [   99.099] [DEBUG] monitor.refresh: 129.481684ms
[2026-07-11 16:39:37.155] [  101.101] [DEBUG] monitor.refresh: 27.090635ms
[2026-07-11 16:39:39.210] [  103.103] [DEBUG] monitor.refresh: 29.379305ms
[2026-07-11 16:39:41.269] [  105.105] [DEBUG] monitor.refresh: 28.085427ms
[2026-07-11 16:39:43.324] [  107.107] [DEBUG] monitor.refresh: 32.545468ms
[2026-07-11 16:39:45.398] [  109.109] [DEBUG] monitor.refresh: 49.722618ms
[2026-07-11 16:39:47.681] [  111.111] [DEBUG] monitor.refresh: 213.899062ms
[2026-07-11 16:39:49.845] [  113.113] [DEBUG] monitor.refresh: 92.097787ms
[2026-07-11 16:39:51.920] [  115.115] [DEBUG] monitor.refresh: 37.493436ms
[2026-07-11 16:39:54.016] [  118.118] [DEBUG] monitor.refresh: 57.052574ms
[2026-07-11 16:39:56.124] [  120.120] [DEBUG] monitor.refresh: 32.627646ms
[2026-07-11 16:39:58.170] [  122.122] [DEBUG] monitor.refresh: 21.254967ms
[2026-07-11 16:40:00.225] [  124.124] [DEBUG] monitor.refresh: 32.321377ms
[2026-07-11 16:40:02.347] [  126.126] [DEBUG] monitor.refresh: 82.087146ms
[2026-07-11 16:40:04.439] [  128.128] [DEBUG] monitor.refresh: 45.066035ms
[2026-07-11 16:40:06.504] [  130.130] [DEBUG] monitor.refresh: 31.994761ms
[2026-07-11 16:40:08.562] [  132.132] [DEBUG] monitor.refresh: 32.664759ms
[2026-07-11 16:40:10.666] [  134.134] [DEBUG] monitor.refresh: 74.085561ms
[2026-07-11 16:40:12.761] [  136.136] [DEBUG] monitor.refresh: 39.95247ms
[2026-07-11 16:40:14.872] [  138.138] [DEBUG] monitor.refresh: 77.318714ms
[2026-07-11 16:40:17.030] [  141.141] [DEBUG] monitor.refresh: 52.10989ms
[2026-07-11 16:40:19.087] [  143.143] [DEBUG] monitor.refresh: 28.407992ms
[2026-07-11 16:40:21.137] [  145.145] [DEBUG] monitor.refresh: 26.606612ms
[2026-07-11 16:40:23.187] [  147.147] [DEBUG] monitor.refresh: 25.747869ms
[2026-07-11 16:40:25.228] [  149.149] [DEBUG] monitor.refresh: 20.657671ms
[2026-07-11 16:40:27.269] [  151.151] [DEBUG] monitor.refresh: 22.427122ms
[2026-07-11 16:40:29.317] [  153.153] [DEBUG] monitor.refresh: 25.600132ms
[2026-07-11 16:40:31.355] [  155.155] [DEBUG] monitor.refresh: 18.04802ms
[2026-07-11 16:40:33.391] [  157.157] [DEBUG] monitor.refresh: 17.954559ms
[2026-07-11 16:40:35.429] [  159.159] [DEBUG] monitor.refresh: 19.764997ms
[2026-07-11 16:40:37.475] [  161.161] [DEBUG] monitor.refresh: 25.50165ms
[2026-07-11 16:40:39.523] [  163.163] [DEBUG] monitor.refresh: 21.787421ms
[2026-07-11 16:40:41.568] [  165.165] [DEBUG] monitor.refresh: 24.720727ms
[2026-07-11 16:40:43.628] [  167.167] [DEBUG] monitor.refresh: 38.64613ms
[2026-07-11 16:40:45.691] [  169.169] [DEBUG] monitor.refresh: 38.976523ms
[2026-07-11 16:40:47.760] [  171.171] [DEBUG] monitor.refresh: 42.542122ms
[2026-07-11 16:40:49.809] [  173.173] [DEBUG] monitor.refresh: 24.930911ms
[2026-07-11 16:40:51.861] [  175.175] [DEBUG] monitor.refresh: 27.77613ms
[2026-07-11 16:40:53.904] [  177.177] [DEBUG] monitor.refresh: 20.23328ms
[2026-07-11 16:40:55.946] [  179.179] [DEBUG] monitor.refresh: 21.805943ms
[2026-07-11 16:40:57.988] [  181.181] [DEBUG] monitor.refresh: 20.258716ms
[2026-07-11 16:41:00.029] [  184.184] [DEBUG] monitor.refresh: 23.008927ms
[2026-07-11 16:41:02.071] [  186.186] [DEBUG] monitor.refresh: 21.774366ms
[2026-07-11 16:41:04.111] [  188.188] [DEBUG] monitor.refresh: 19.022695ms
[2026-07-11 16:41:06.151] [  190.190] [DEBUG] monitor.refresh: 22.230665ms
[2026-07-11 16:41:08.187] [  192.192] [DEBUG] monitor.refresh: 18.691608ms
[2026-07-11 16:41:10.230] [  194.194] [DEBUG] monitor.refresh: 21.640048ms
[2026-07-11 16:41:12.276] [  196.196] [DEBUG] monitor.refresh: 26.265284ms
[2026-07-11 16:41:14.315] [  198.198] [DEBUG] monitor.refresh: 17.555876ms
[2026-07-11 16:41:16.349] [  200.200] [DEBUG] monitor.refresh: 17.36154ms
[2026-07-11 16:41:18.388] [  202.202] [DEBUG] monitor.refresh: 18.005338ms
[2026-07-11 16:41:20.427] [  204.204] [DEBUG] monitor.refresh: 19.863258ms
[2026-07-11 16:41:22.465] [  206.206] [DEBUG] monitor.refresh: 17.540874ms
[2026-07-11 16:41:24.520] [  208.208] [DEBUG] monitor.refresh: 33.21679ms
[2026-07-11 16:41:26.571] [  210.210] [DEBUG] monitor.refresh: 23.630166ms
[2026-07-11 16:41:28.625] [  212.212] [DEBUG] monitor.refresh: 26.144383ms
[2026-07-11 16:41:29.492] [  213.213] [DEBUG] handle_key: key=Some(113), renice=false, kill=false
[2026-07-11 16:41:29.492] [  213.213] [DEBUG] Key: Quit
[2026-07-11 16:41:29.492] [  213.213] [DEBUG] handle_key: key=Some(113), renice=false, kill=false
[2026-07-11 16:41:29.492] [  213.213] [DEBUG] Key: Quit
